Continent,Country,Population,GDPperCapita,Lat,Lon,LifeExpectancy
Africa,Sao_Tome_and_Principe,211028,1595.90,43.9424,12.4578,69.4
Oceania,French_Polynesia,277679,..,3.9339,-53.1258,76.8
Oceania,New_Caledonia,284060,38559.50,-40.9006,174.886,81.5
America,Barbados,286641,16561.90,13.1939,-59.5432,78.8
Europe,Iceland,353574,52428.60,64.9631,-19.0208,82.5
America,Belize,383071,4775.90,50.8333,4,74
America,Bahamas,385640,5500.30,40.1431,47.5769,72.3
Asia,Brunei_Darussalam,428962,31164.60,4.5353,114.7277,75.3
Europe,Malta,483530,24077.00,35.9375,14.3754,81.9
Asia,Maldives,515696,9033.40,3.2028,73.2207,77.7
Africa,Cape_Verde,543767,43495.10,15.1111,-23.6167,81.9
America,Suriname,575991,3689.50,3.9193,-56.0278,55.4
Europe,Luxembourg,607728,101376.50,49.8153,6.1296,82.3
Europe,Montenegro,622345,6514.30,42.5,19.3,76.5
Asia,Bhutan,754394,2752.70,27.5142,90.4336,70.4
America,Guyana,779004,4166.10,5,-58.75,69.3
Oceania,Fiji,883483,5390.70,-17.7134,178.065,67.1
Africa,Djibouti,958920,2675.60,11.8251,42.5903,64.1
Europe,Cyprus,1189265,23333.70,35.1264,33.4299,80.4
Africa,Mauritius,1265303,9260.40,-20.2,57.5,74.4
Asia,Timor_Leste,1267972,5840.00,13.4667,-16.6,76.1
Africa,Equatorial_Guinea,1308974,11278.90,1.5,10,57.4
Europe,Estonia,1320884,17522.20,58.5953,25.0136,77.6
Africa,Eswatini,1367000,17522.20,-26.5225,31.4659,77.6
America,Trinidad_and_Tobago,1389858,18289.70,10.6918,-61.2225,72.9
Asia,Bahrain,1569439,22689.00,26.0275,50.55,76.8
Europe,Kosovo,1845300,3574.20,42.6026,20.903,71.3
Africa,Guinea_Bissau,1874309,769.30,9.9456,-9.6966,59.6
Europe,Latvia,1926542,13698.90,56.8796,24.6032,74.5
Europe,Slovenia,2067372,20881.80,46.1512,14.9955,80.8
Europe,North_Macedonia,2082958,2730.40,41.6086,21.7453,53.1
Africa,Gabon,2119275,7381.70,-0.8037,11.6094,64.9
Africa,Botswana,2254126,6799.90,43.9159,17.6791,67.3
Africa,Gambia,2280102,7381.70,-0.8037,11.6094,64.9
Africa,Namibia,2448255,5032.90,-22.9576,18.4904,62.1
Asia,Qatar,2781677,63039.00,25.3548,51.1839,79.8
Europe,Lithuania,2789533,14249.10,55.1694,23.8813,74.3
Europe,Albania,2866376,3952.80,41.1533,20.1683,78
America,Jamaica,2934855,4907.50,18.1096,-77.2975,74.1
Europe,Armenia,2951776,3607.30,40.0691,45.0382,74.5
Asia,Mongolia,3170208,3918.60,46.8625,103.8467,69.1
America,Puerto_Rico,3195153,29764.10,18.2,-66.5,79.4
Europe,Bosnia_and_Herzegovina,3323929,4727.30,43.9159,17.6791,76.9
America,Uruguay,3449299,15613.80,-32.5228,-55.7658,77.4
Europe,Moldova,3545883,2179.20,47.4116,28.3699,71.5
Europe,Georgia,3731000,4014.20,42.3154,43.3569,73
